公司代號,出表日期,公司名稱,產業別,當月營收,上月營收
1102,1110912,亞泥,水泥工業,7069221,7864622
1108,1110912,幸福,水泥工業,390053,326691
1109,1110912,信大,水泥工業,478276,557403
1110,1110912,東泥,水泥工業,176935,134470
1213,1110912,大飲,食品工業,38696,29503
1215,1110912,卜蜂,食品工業,2393814,2400161
1218,1110912,泰山,食品工業,1054476,1023417
1219,1110912,福壽,食品工業,1352250,1321525
1220,1110912,台榮,食品工業,314062,294528
1225,1110912,福懋油,食品工業,1333748,1301087
1227,1110912,佳格,食品工業,2686715,2146094
1229,1110912,聯華,食品工業,831107,906199
1231,1110912,聯華食,食品工業,976319,987622
1232,1110912,大統益,食品工業,2186695,1798053
1233,1110912,天仁,食品工業,173566,133500
1234,1110912,黑松,食品工業,1074526,952900
1235,1110912,興泰,食品工業,6974,3274
1236,1110912,宏亞,食品工業,221454,170333
1256,1110912,鮮活果汁-KY,食品工業,581403,475276
1301,1110912,台塑,塑膠工業,17450790,19936058
1303,1110912,南亞,塑膠工業,27507669,27970940
1304,1110912,台聚,塑膠工業,5215901,5657528
1305,1110912,華夏,塑膠工業,1190704,1560080
1307,1110912,三芳,塑膠工業,1118509,923832
1308,1110912,亞聚,塑膠工業,1082981,969456
1309,1110912,台達化,塑膠工業,1529912,1586565
1310,1110912,台苯,塑膠工業,851722,1314555
1312,1110912,國喬,塑膠工業,1405126,1382426
1313,1110912,聯成,塑膠工業,5052422,5993125
1315,1110912,達新,塑膠工業,306497,212786
1319,1110912,東陽,汽車工業,1767684,1859349
1321,1110912,大洋,塑膠工業,550848,474542
1324,1110912,地球,塑膠工業,75027,73983
1325,1110912,恆大,塑膠工業,44949,50686
1326,1110912,台化,塑膠工業,28666166,31249506
1337,1110912,再生-KY,塑膠工業,60295,53666
1338,1110912,廣華-KY,汽車工業,617345,705668
1339,1110912,昭輝,汽車工業,175239,179434
1340,1110912,勝悅-KY,塑膠工業,40342,36383
1341,1110912,富林-KY,塑膠工業,215526,212305
1342,1110912,八貫,其他,212537,214641
1410,1110912,南染,紡織纖維,29489,30028
1413,1110912,宏洲,紡織纖維,263208,219957
1414,1110912,東和,紡織纖維,55727,60543
1417,1110912,嘉裕,紡織纖維,117306,120361
1418,1110912,東華,紡織纖維,701,427
1419,1110912,新紡,紡織纖維,312131,270399
1423,1110912,利華,紡織纖維,14789,10059
1434,1110912,福懋,紡織纖維,2965754,2957701
1435,1110912,中福,其他,1085,1067
1436,1110912,華友聯,建材營造,864693,655976
1437,1110912,勤益控,其他,67184,123460
1440,1110912,南紡,紡織纖維,1615212,1727479
1441,1110912,大東,紡織纖維,108145,141393
1442,1110912,名軒,建材營造,125929,69478
1443,1110912,立益物流,其他,103981,63796
1444,1110912,力麗,紡織纖維,1110060,1124306
1445,1110912,大宇,紡織纖維,124480,129689
1446,1110912,宏和,紡織纖維,10478,20368
1447,1110912,力鵬,紡織纖維,2719435,3157856
1449,1110912,佳和,紡織纖維,232128,182939
1451,1110912,年興,紡織纖維,825466,861416
1452,1110912,宏益,紡織纖維,134402,135987
1453,1110912,大將,建材營造,39629,30291
1454,1110912,台富,紡織纖維,157137,155473
1455,1110912,集盛,紡織纖維,694537,742046
1456,1110912,怡華,建材營造,36321,47436
1457,1110912,宜進,紡織纖維,365255,309944
1459,1110912,聯發,紡織纖維,132777,162430
